CUPS,AÑO,MES,DIA,HORA,CONSUMO
0,2021,8,3,1,0.1
0,2021,8,3,2,0.073
0,2021,8,3,3,0.083
0,2021,8,3,4,0.073
0,2021,8,3,5,0.073
0,2021,8,3,6,0.078
0,2021,8,3,7,0.077
0,2021,8,3,8,0.076
0,2021,8,3,9,0.479
0,2021,8,3,10,0.214
0,2021,8,3,11,0.2
0,2021,8,3,12,0.211
0,2021,8,3,13,0.182
0,2021,8,3,14,0.228
0,2021,8,3,15,0.151
0,2021,8,3,16,0.192
0,2021,8,3,17,0.194
0,2021,8,3,18,0.221
0,2021,8,3,19,0.327
0,2021,8,3,20,0.341
0,2021,8,3,21,0.233
0,2021,8,3,22,0.237
0,2021,8,3,23,0.274
0,2021,8,3,24,0.216
0,2021,8,4,1,0.109
0,2021,8,4,2,0.079
0,2021,8,4,3,0.078
0,2021,8,4,4,0.076
0,2021,8,4,5,0.076
0,2021,8,4,6,0.077
0,2021,8,4,7,0.077
0,2021,8,4,8,0.075
0,2021,8,4,9,0.148
0,2021,8,4,10,0.154
0,2021,8,4,11,0.258
0,2021,8,4,12,0.176
0,2021,8,4,13,0.218
0,2021,8,4,14,0.209
0,2021,8,4,15,0.221
0,2021,8,4,16,0.203
0,2021,8,4,17,0.205
0,2021,8,4,18,0.263
0,2021,8,4,19,0.359
0,2021,8,4,20,0.362
0,2021,8,4,21,0.296
0,2021,8,4,22,0.148
0,2021,8,4,23,0.278
0,2021,8,4,24,0.407
0,2021,8,5,1,0.292
0,2021,8,5,2,0.402
0,2021,8,5,3,0.105
0,2021,8,5,4,0.578
0,2021,8,5,5,0.078
0,2021,8,5,6,0.074
0,2021,8,5,7,0.081
0,2021,8,5,8,0.074
0,2021,8,5,9,0.158
0,2021,8,5,10,0.65
0,2021,8,5,11,0.206
0,2021,8,5,12,0.257
0,2021,8,5,13,0.191
0,2021,8,5,14,0.23
0,2021,8,5,15,0.287
0,2021,8,5,16,0.227
0,2021,8,5,17,0.218
0,2021,8,5,18,0.208
0,2021,8,5,19,0.215
0,2021,8,5,20,0.077
0,2021,8,5,21,0.077
0,2021,8,5,22,0.199
0,2021,8,5,23,0.318
0,2021,8,5,24,0.575
0,2021,8,6,1,0.235
0,2021,8,6,2,0.084
0,2021,8,6,3,0.124
0,2021,8,6,4,0.096
0,2021,8,6,5,0.083
0,2021,8,6,6,0.073
0,2021,8,6,7,0.077
0,2021,8,6,8,0.08
0,2021,8,6,9,0.152
0,2021,8,6,10,0.154
0,2021,8,6,11,0.257
0,2021,8,6,12,0.302
0,2021,8,6,13,0.177
0,2021,8,6,14,0.22
0,2021,8,6,15,0.645
0,2021,8,6,16,0.192
0,2021,8,6,17,0.162
0,2021,8,6,18,0.183
0,2021,8,6,19,0.34
0,2021,8,6,20,0.376
0,2021,8,6,21,0.388
0,2021,8,6,22,0.347
0,2021,8,6,23,0.337
0,2021,8,6,24,0.506
0,2021,8,7,1,0.443
0,2021,8,7,2,0.268
0,2021,8,7,3,0.081
0,2021,8,7,4,0.085
0,2021,8,7,5,0.072
0,2021,8,7,6,0.081
0,2021,8,7,7,0.073
0,2021,8,7,8,0.081
0,2021,8,7,9,0.073
0,2021,8,7,10,0.08
0,2021,8,7,11,0.167
0,2021,8,7,12,0.23
0,2021,8,7,13,0.233
0,2021,8,7,14,0.234
0,2021,8,7,15,0.075
0,2021,8,7,16,0.093
0,2021,8,7,17,0.092
0,2021,8,7,18,0.071
0,2021,8,7,19,0.082
0,2021,8,7,20,0.072
0,2021,8,7,21,0.082
0,2021,8,7,22,0.08
0,2021,8,7,23,0.245
0,2021,8,7,24,0.213
0,2021,8,8,1,0.196
0,2021,8,8,2,0.161
0,2021,8,8,3,0.107
0,2021,8,8,4,0.079
0,2021,8,8,5,0.073
0,2021,8,8,6,0.082
0,2021,8,8,7,0.07
0,2021,8,8,8,0.077
0,2021,8,8,9,0.083
0,2021,8,8,10,0.072
0,2021,8,8,11,0.232
0,2021,8,8,12,0.228
0,2021,8,8,13,0.206
0,2021,8,8,14,0.106
0,2021,8,8,15,0.076
0,2021,8,8,16,0.079
0,2021,8,8,17,0.082
0,2021,8,8,18,0.073
0,2021,8,8,19,0.08
0,2021,8,8,20,0.072
0,2021,8,8,21,0.08
0,2021,8,8,22,0.072
0,2021,8,8,23,0.083
0,2021,8,8,24,0.106
0,2021,8,9,1,0.408
0,2021,8,9,2,0.292
0,2021,8,9,3,0.365
0,2021,8,9,4,0.083
0,2021,8,9,5,0.078
0,2021,8,9,6,0.069
0,2021,8,9,7,0.08
0,2021,8,9,8,0.075
0,2021,8,9,9,0.148
0,2021,8,9,10,0.178
0,2021,8,9,11,0.2
0,2021,8,9,12,0.17
0,2021,8,9,13,0.236
0,2021,8,9,14,0.196
0,2021,8,9,15,0.234
0,2021,8,9,16,0.19
0,2021,8,9,17,0.195
0,2021,8,9,18,0.325
0,2021,8,9,19,0.352
0,2021,8,9,20,0.086
0,2021,8,9,21,0.119
0,2021,8,9,22,0.095
0,2021,8,9,23,0.202
0,2021,8,9,24,0.272
0,2021,8,10,1,0.144
0,2021,8,10,2,0.085
0,2021,8,10,3,0.074
0,2021,8,10,4,0.084
0,2021,8,10,5,0.105
0,2021,8,10,6,0.089
0,2021,8,10,7,0.334
0,2021,8,10,8,0.147
0,2021,8,10,9,0.166
0,2021,8,10,10,0.645
0,2021,8,10,11,0.25
0,2021,8,10,12,0.159
0,2021,8,10,13,0.218
0,2021,8,10,14,0.177
0,2021,8,10,15,0.255
0,2021,8,10,16,0.209
0,2021,8,10,17,0.292
0,2021,8,10,18,0.361
0,2021,8,10,19,0.339
0,2021,8,10,20,0.316
0,2021,8,10,21,0.18
0,2021,8,10,22,0.08
0,2021,8,10,23,0.185
0,2021,8,10,24,0.244
0,2021,8,11,1,0.103
0,2021,8,11,2,0.086
0,2021,8,11,3,0.081
0,2021,8,11,4,0.08
0,2021,8,11,5,0.08
0,2021,8,11,6,0.079
0,2021,8,11,7,0.08
0,2021,8,11,8,0.078
0,2021,8,11,9,0.193
0,2021,8,11,10,0.193
0,2021,8,11,11,0.215
0,2021,8,11,12,0.249
0,2021,8,11,13,0.175
0,2021,8,11,14,0.228
0,2021,8,11,15,0.193
0,2021,8,11,16,0.24
0,2021,8,11,17,0.219
0,2021,8,11,18,0.363
0,2021,8,11,19,0.388
0,2021,8,11,20,0.253
0,2021,8,11,21,0.121
0,2021,8,11,22,0.217
0,2021,8,11,23,0.355
0,2021,8,11,24,0.438
0,2021,8,12,1,0.345
0,2021,8,12,2,0.417
0,2021,8,12,3,0.114
0,2021,8,12,4,0.576
0,2021,8,12,5,0.087
0,2021,8,12,6,0.074
0,2021,8,12,7,0.079
0,2021,8,12,8,0.081
0,2021,8,12,9,0.149
0,2021,8,12,10,0.87
0,2021,8,12,11,0.209
0,2021,8,12,12,0.211
0,2021,8,12,13,0.245
0,2021,8,12,14,0.185
0,2021,8,12,15,0.2
0,2021,8,12,16,0.271
0,2021,8,12,17,0.232
0,2021,8,12,18,0.344
0,2021,8,12,19,0.388
0,2021,8,12,20,0.389
0,2021,8,12,21,0.21
0,2021,8,12,22,0.226
0,2021,8,12,23,0.304
0,2021,8,12,24,0.257
0,2021,8,13,1,0.164
0,2021,8,13,2,0.095
0,2021,8,13,3,0.084
0,2021,8,13,4,0.091
0,2021,8,13,5,0.09
0,2021,8,13,6,0.089
0,2021,8,13,7,0.084
0,2021,8,13,8,0.08
0,2021,8,13,9,0.189
0,2021,8,13,10,0.218
0,2021,8,13,11,0.253
0,2021,8,13,12,0.202
0,2021,8,13,13,0.21
0,2021,8,13,14,0.185
0,2021,8,13,15,0.207
0,2021,8,13,16,0.198
0,2021,8,13,17,0.264
0,2021,8,13,18,0.356
0,2021,8,13,19,0.405
0,2021,8,13,20,0.409
0,2021,8,13,21,0.445
0,2021,8,13,22,0.452
0,2021,8,13,23,0.451
0,2021,8,13,24,0.439
0,2021,8,14,1,0.441
0,2021,8,14,2,0.311
0,2021,8,14,3,0.131
0,2021,8,14,4,0.108
0,2021,8,14,5,0.082
0,2021,8,14,6,0.082
0,2021,8,14,7,0.081
0,2021,8,14,8,0.08
0,2021,8,14,9,0.08
0,2021,8,14,10,0.075
0,2021,8,14,11,0.084
0,2021,8,14,12,0.303
0,2021,8,14,13,0.23
0,2021,8,14,14,0.117
0,2021,8,14,15,0.083
0,2021,8,14,16,0.07
0,2021,8,14,17,0.087
0,2021,8,14,18,0.106
0,2021,8,14,19,0.08
0,2021,8,14,20,0.071
0,2021,8,14,21,0.081
0,2021,8,14,22,0.081
0,2021,8,14,23,0.075
0,2021,8,14,24,0.073
0,2021,8,15,1,0.082
0,2021,8,15,2,0.08
0,2021,8,15,3,0.079
0,2021,8,15,4,0.087
0,2021,8,15,5,0.081
0,2021,8,15,6,0.069
0,2021,8,15,7,0.116
0,2021,8,15,8,0.105
0,2021,8,15,9,0.082
0,2021,8,15,10,0.086
0,2021,8,15,11,0.186
0,2021,8,15,12,0.224
0,2021,8,15,13,0.429
0,2021,8,15,14,0.206
0,2021,8,15,15,0.444
0,2021,8,15,16,0.079
0,2021,8,15,17,0.081
0,2021,8,15,18,0.077
0,2021,8,15,19,0.071
0,2021,8,15,20,0.076
0,2021,8,15,21,0.08
0,2021,8,15,22,0.08
0,2021,8,15,23,0.076
0,2021,8,15,24,0.07
0,2021,8,16,1,0.084
0,2021,8,16,2,0.098
0,2021,8,16,3,0.077
0,2021,8,16,4,0.073
0,2021,8,16,5,0.081
0,2021,8,16,6,0.081
0,2021,8,16,7,0.067
0,2021,8,16,8,0.081
0,2021,8,16,9,0.087
0,2021,8,16,10,0.067
0,2021,8,16,11,0.079
0,2021,8,16,12,0.117
0,2021,8,16,13,0.278
0,2021,8,16,14,0.159
0,2021,8,16,15,0.095
0,2021,8,16,16,0.09
0,2021,8,16,17,0.081
0,2021,8,16,18,0.08
0,2021,8,16,19,0.068
0,2021,8,16,20,0.079
0,2021,8,16,21,0.13
0,2021,8,16,22,0.09
0,2021,8,16,23,0.217
0,2021,8,16,24,0.458
0,2021,8,17,1,0.216
0,2021,8,17,2,0.205
0,2021,8,17,3,0.168
0,2021,8,17,4,0.083
0,2021,8,17,5,0.085
0,2021,8,17,6,0.076
0,2021,8,17,7,0.146
0,2021,8,17,8,0.096
0,2021,8,17,9,0.073
0,2021,8,17,10,0.093
0,2021,8,17,11,0.19
0,2021,8,17,12,0.159
0,2021,8,17,13,0.092
0,2021,8,17,14,0.09
0,2021,8,17,15,0.086
0,2021,8,17,16,0.085
0,2021,8,17,17,0.084
0,2021,8,17,18,0.08
0,2021,8,17,19,0.087
0,2021,8,17,20,0.084
0,2021,8,17,21,0.074
0,2021,8,17,22,0.084
0,2021,8,17,23,0.16
0,2021,8,17,24,0.406
0,2021,8,18,1,0.188
0,2021,8,18,2,0.088
0,2021,8,18,3,0.087
0,2021,8,18,4,0.075
0,2021,8,18,5,0.082
0,2021,8,18,6,0.082
0,2021,8,18,7,0.069
0,2021,8,18,8,0.083
0,2021,8,18,9,0.068
0,2021,8,18,10,0.09
0,2021,8,18,11,0.074
0,2021,8,18,12,0.294
0,2021,8,18,13,0.193
0,2021,8,18,14,0.257
0,2021,8,18,15,0.204
0,2021,8,18,16,0.079
0,2021,8,18,17,0.081
0,2021,8,18,18,0.075
0,2021,8,18,19,0.08
0,2021,8,18,20,0.07
0,2021,8,18,21,0.08
0,2021,8,18,22,0.08
0,2021,8,18,23,0.152
0,2021,8,18,24,0.508
0,2021,8,19,1,0.195
0,2021,8,19,2,0.165
0,2021,8,19,3,0.093
0,2021,8,19,4,0.084
0,2021,8,19,5,0.078
0,2021,8,19,6,0.086
0,2021,8,19,7,0.079
0,2021,8,19,8,0.155
0,2021,8,19,9,0.114
0,2021,8,19,10,0.071
0,2021,8,19,11,0.081
0,2021,8,19,12,0.076
0,2021,8,19,13,0.075
0,2021,8,19,14,0.08
0,2021,8,19,15,0.072
0,2021,8,19,16,0.081
0,2021,8,19,17,0.07
0,2021,8,19,18,0.083
0,2021,8,19,19,0.068
0,2021,8,19,20,0.084
0,2021,8,19,21,0.068
0,2021,8,19,22,0.084
0,2021,8,19,23,0.086
0,2021,8,19,24,0.242
0,2021,8,20,1,0.216
0,2021,8,20,2,0.124
0,2021,8,20,3,0.073
0,2021,8,20,4,0.081
0,2021,8,20,5,0.075
0,2021,8,20,6,0.073
0,2021,8,20,7,0.083
0,2021,8,20,8,0.14
0,2021,8,20,9,0.083
0,2021,8,20,10,0.08
0,2021,8,20,11,0.124
0,2021,8,20,12,0.303
0,2021,8,20,13,0.215
0,2021,8,20,14,0.22
0,2021,8,20,15,0.731
0,2021,8,20,16,0.205
0,2021,8,20,17,0.221
0,2021,8,20,18,0.207
0,2021,8,20,19,0.227
0,2021,8,20,20,0.115
0,2021,8,20,21,0.231
0,2021,8,20,22,0.204
0,2021,8,20,23,0.231
0,2021,8,20,24,0.216
0,2021,8,21,1,0.1
0,2021,8,21,2,0.074
0,2021,8,21,3,0.079
0,2021,8,21,4,0.073
0,2021,8,21,5,0.079
0,2021,8,21,6,0.072
0,2021,8,21,7,0.08
0,2021,8,21,8,0.072
0,2021,8,21,9,0.144
0,2021,8,21,10,0.085
0,2021,8,21,11,0.148
0,2021,8,21,12,0.701
0,2021,8,21,13,0.593
0,2021,8,21,14,0.274
0,2021,8,21,15,0.086
0,2021,8,21,16,0.072
0,2021,8,21,17,0.08
0,2021,8,21,18,0.078
0,2021,8,21,19,0.075
0,2021,8,21,20,0.083
0,2021,8,21,21,0.068
0,2021,8,21,22,0.087
0,2021,8,21,23,0.231
0,2021,8,21,24,0.444
0,2021,8,22,1,0.305
0,2021,8,22,2,0.152
0,2021,8,22,3,0.079
0,2021,8,22,4,0.079
0,2021,8,22,5,0.076
0,2021,8,22,6,0.077
0,2021,8,22,7,0.076
0,2021,8,22,8,0.077
0,2021,8,22,9,0.075
0,2021,8,22,10,0.084
0,2021,8,22,11,0.157
0,2021,8,22,12,0.145
0,2021,8,22,13,0.091
0,2021,8,22,14,0.076
0,2021,8,22,15,0.077
0,2021,8,22,16,0.078
0,2021,8,22,17,0.074
0,2021,8,22,18,0.08
0,2021,8,22,19,0.072
0,2021,8,22,20,0.082
0,2021,8,22,21,0.069
0,2021,8,22,22,0.141
0,2021,8,22,23,0.209
0,2021,8,22,24,0.222
0,2021,8,23,1,0.112
0,2021,8,23,2,0.08
0,2021,8,23,3,0.072
0,2021,8,23,4,0.086
0,2021,8,23,5,0.067
0,2021,8,23,6,0.086
0,2021,8,23,7,0.072
0,2021,8,23,8,0.08
0,2021,8,23,9,0.078
0,2021,8,23,10,0.178
0,2021,8,23,11,0.358
0,2021,8,23,12,0.187
0,2021,8,23,13,0.078
0,2021,8,23,14,0.081
0,2021,8,23,15,0.081
0,2021,8,23,16,0.08
0,2021,8,23,17,0.075
0,2021,8,23,18,0.079
0,2021,8,23,19,0.077
0,2021,8,23,20,0.074
0,2021,8,23,21,0.077
0,2021,8,23,22,0.082
0,2021,8,23,23,0.158
0,2021,8,23,24,0.249
0,2021,8,24,1,0.211
0,2021,8,24,2,0.106
0,2021,8,24,3,0.091
0,2021,8,24,4,0.075
0,2021,8,24,5,0.085
0,2021,8,24,6,0.082
0,2021,8,24,7,0.075
0,2021,8,24,8,0.088
0,2021,8,24,9,0.205
0,2021,8,24,10,0.112
0,2021,8,24,11,0.081
0,2021,8,24,12,0.08
0,2021,8,24,13,0.079
0,2021,8,24,14,0.08
0,2021,8,24,15,0.079
0,2021,8,24,16,0.079
0,2021,8,24,17,0.079
0,2021,8,24,18,0.079
0,2021,8,24,19,0.079
0,2021,8,24,20,0.08
0,2021,8,24,21,0.079
0,2021,8,24,22,0.08
0,2021,8,24,23,0.086
0,2021,8,24,24,0.231
0,2021,8,25,1,0.214
0,2021,8,25,2,0.101
0,2021,8,25,3,0.093
0,2021,8,25,4,0.091
0,2021,8,25,5,0.084
0,2021,8,25,6,0.076
0,2021,8,25,7,0.087
0,2021,8,25,8,0.083
0,2021,8,25,9,0.079
0,2021,8,25,10,0.096
0,2021,8,25,11,0.148
0,2021,8,25,12,0.099
0,2021,8,25,13,0.067
0,2021,8,25,14,0.113
0,2021,8,25,15,0.078
0,2021,8,25,16,0.09
0,2021,8,25,17,0.069
0,2021,8,25,18,0.09
0,2021,8,25,19,0.07
0,2021,8,25,20,0.088
0,2021,8,25,21,0.144
0,2021,8,25,22,0.088
0,2021,8,25,23,0.355
0,2021,8,25,24,0.293
0,2021,8,26,1,0.206
0,2021,8,26,2,0.085
0,2021,8,26,3,0.088
0,2021,8,26,4,0.074
0,2021,8,26,5,0.082
0,2021,8,26,6,0.084
0,2021,8,26,7,0.071
0,2021,8,26,8,0.086
0,2021,8,26,9,0.189
0,2021,8,26,10,0.187
0,2021,8,26,11,0.085
0,2021,8,26,12,0.072
0,2021,8,26,13,0.086
0,2021,8,26,14,0.081
0,2021,8,26,15,0.073
0,2021,8,26,16,0.086
0,2021,8,26,17,0.077
0,2021,8,26,18,0.077
0,2021,8,26,19,0.087
0,2021,8,26,20,0.068
0,2021,8,26,21,0.086
0,2021,8,26,22,0.075
0,2021,8,26,23,0.083
0,2021,8,26,24,0.265
0,2021,8,27,1,0.246
0,2021,8,27,2,0.097
0,2021,8,27,3,0.101
0,2021,8,27,4,0.148
0,2021,8,27,5,0.09
0,2021,8,27,6,0.081
0,2021,8,27,7,0.087
0,2021,8,27,8,0.087
0,2021,8,27,9,0.077
0,2021,8,27,10,0.079
0,2021,8,27,11,0.167
0,2021,8,27,12,0.108
0,2021,8,27,13,0.093
0,2021,8,27,14,0.076
0,2021,8,27,15,0.077
0,2021,8,27,16,0.084
0,2021,8,27,17,0.082
0,2021,8,27,18,0.075
0,2021,8,27,19,0.075
0,2021,8,27,20,0.083
0,2021,8,27,21,0.082
0,2021,8,27,22,0.074
0,2021,8,27,23,0.074
